X,Y,Z
-131,305,0
-185,290,0
-289,235,-1
-327,203,0
-390,128,-1
-418,82,-1
-454,-16,0
-463,-67,0
-466,-158,0
-447,-249,0
-431,-306,-1
-366,-406,0
-329,-453,0
-251,-515,-1
-202,-537,0
-96,-576,0
17,-579,0
63,-575,-1
160,-548,0
212,-519,-1
301,-451,1
343,-403,-1
389,-312,0
407,-264,0
423,-148,0
412,-40,-1
401,8,0
357,97,0
329,137,-1
249,223,0
198,252,0
111,295,-1
61,307,0
-51,317,1
-159,300,0
-210,278,0
-289,235,0
-324,203,1
-395,119,-1
-424,72,0
-453,-14,0
-459,-45,0
-469,-113,0
-463,-175,0
-462,-181,0
-460,-102,-1
-453,-44,-1
-412,102,-1
-369,173,0
-176,302,0
38,312,-1
125,284,0
260,207,0
303,156,-1
370,64,-1
388,26,-1
390,10,0
388,23,0
378,50,-1
356,89,0
354,100,0
321,144,-1
297,175,0
237,232,0
198,256,-1
108,299,0
59,309,-1
-45,317,-1
-132,308,1
-179,290,0
-271,242,-1
-316,208,0
-389,115,0
-412,77,-1
-448,-27,0
-455,-147,0
-448,-201,0
-417,-301,1
-394,-345,-1
-329,-432,0
-287,-474,-1
-193,-531,-2
-147,-549,-1
-46,-570,0
62,-566,0
117,-550,0
201,-516,0
238,-491,0
310,-425,1
342,-382,0
392,-283,-1
405,-238,-1
418,-150,0
408,-42,0
392,11,0
351,107,-1
323,140,-1
269,202,-1
234,233,-1
145,280,0
100,302,0
7,317,-1
-89,314,0
-137,306,0
-239,262,0
-287,232,0
-357,165,-1
-386,121,1
-437,20,0
-450,-41,1
-455,-156,0
-436,-255,0
-414,-311,0
-354,-410,0
-314,-449,-1
-236,-510,0
-191,-530,0
-84,-563,0
24,-572,-1
76,-560,-1
169,-530,0
219,-503,-1
302,-434,0
335,-394,1
385,-307,0
400,-263,-1
417,-152,0
408,-39,-1
392,10,0
352,106,0
320,145,-1
246,222,0
201,254,0
114,292,0
72,308,0
-24,316,0
-128,306,-1
-181,290,-1
-271,240,0
-309,215,0
-383,127,0
-412,75,-1
-448,-30,0
-456,-129,0
-450,-181,0
-420,-295,0
-392,-349,0
-332,-431,-1
-295,-468,0
-199,-526,-1
-146,-551,-1
-47,-570,0
41,-567,0
86,-561,1
185,-520,-1
231,-496,-1
308,-429,0
337,-390,-1
385,-310,-1
402,-254,0
417,-151,1
412,-61,0
399,-12,0
364,80,0
338,126,-1
266,207,0
230,235,-1
150,281,0
108,296,0
10,317,-1
-93,315,0
-137,304,-1
-218,273,0
-263,246,0
-348,174,-1
-383,127,0
-433,28,0
-455,-73,-1
-454,-128,-1
-441,-243,-1
-420,-294,-1
-372,-379,-1
-344,-421,0
-258,-494,0
-207,-526,0
-108,-560,0
-10,-570,0
41,-569,-1
148,-539,0
